"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","sohy****","2021.04.24. 22:33","6","아니 평점 알바 푼거임? 내가 수백개의 영화를 본 사람인데 이 영화가 평점9.대라는게 말이 안됨 아주 최악의 영화까진 아니지만 진짜 7이상은 절대 아닌듯 ;;;; 뒤죽박죽 뭘 말하고 싶은건지도 모르겠고의미도 없고 재미도없고 감동도 없고 나랑 같이 본사람들 다 별로라 했음.. 굳이 돈주고 영화관에서 볼 영화는 아닌듯;; 대...","6","2"
"내일의 기억","ejm8****","2021.04.24. 12:20","2","하.. 여자 주인공이 요즘 논란이 너무 많아서...","6","2"
"내일의 기억","ssri****","2021.04.24. 12:02","2","서예지때문에 몰입이 안됨","6","2"
"내일의 기억","sonh****","2021.04.23. 18:23","1","막장드라마를 영화로 만든느낌 초반엔 지루하고 후반엔 어이가없어요","6","2"
"내일의 기억","kyle****","2021.04.23. 17:14","2","좀 무리수가 있고 별로였음","6","2"
"내일의 기억","wand****","2021.04.21. 21:37","4","눈물로 지워내는 서스펜스","6","2"
"내일의 기억","1997****","2021.04.21. 20:45","6","반전을 위한 스토리. 내용 전개를 위한 스토리","6","2"
"내일의 기억","leej****","2021.04.30. 12:02","1","오늘도 개돼지들은 범죄자의 지갑을 채워줍니다","7","3"
"내일의 기억","kkwa****","2021.04.25. 19:08","1","하.. 개인적으로 비추입니다...","7","3"
"내일의 기억","ptko****","2021.04.25. 16:34","1","웬만해선 후기 안쓰는데 보면 안됩니다.. 그냥 보지마세요","7","3"
"내일의 기억","kim9****","2021.04.22. 18:15","4","오늘 영화 보고왔습니다. 평점이 좋아서 봤는데, 실망감이 큰 영화였습니다. 시작한지 10분만에 대강 스토리 예측 가능했고, 영화 마지막 부분에 신파 장면까지.. 친구랑 같이 봤는데 친구도 저도 재미없게 봤습니다. 이런 미스터리 스토리가 비슷한게 많고, 저와 친구는 영화를 좋아해 자주 보니 이런 비슷한 스토리가 많다...","7","3"
"내일의 기억","free****","2021.04.22. 18:01","5","사건 안터졌어도 자연스럽게 폭망했을듯 어설픈 장치들을 어설프게 나열하다 급마무리","7","3"
"내일의 기억","leez****","2021.04.22. 15:55","2","돈아깝다~~~그냥 넷플리스 봐야지","7","3"
"내일의 기억","guch****","2021.04.22. 14:24","1","정보 없음","7","3"
"내일의 기억","itot****","2021.04.22. 10:55","6","왠지 모르게 영화가 딱딱함","7","3"
"내일의 기억","orio****","2021.04.22. 08:54","6","서씨께서 민폐를 어마하게 끼치셨네 ㅉ","7","3"
