"작성자","평점","좋아요","댓글수","리뷰"
"Seong-im Kang","3.0","1","0","드디어 나도봤다 이노무 노트북!
라이언고슬링 군복입은 포스터만 봐서 전쟁에 휘말린 힘겨운 연인들인가 했는데... 그냥 흘러지나갔을쁜이고,
All is no good 할 때 이 영화 반전을 내가 예상 못한듯 해서 이쉬웠는데.. 아니었네?
내가 아쉬운 대신 영화눈 더 맘에 들뻔 했는데...
결론
레이첼 맥아담스가 참 예쁘고 예쁘고 예쁘다. 끝!"
"최수현","5.0","1","0","첫사랑,,,"
"하성민","5.0","1","0","사랑하고싶게 만드는 영화"
"999999999","5.0","1","0","누군가에겐 공감하지 못 할 지루한 로맨스
누군가에겐 옛 기억에 눈물 쏟게 할 로맨스"
"Great jelly HARIBO","5.0","1","0","영화라는 걸 잊어버릴 정도로 둘이 너무 잘 어울린다
로맨스 그 자체
무슨 말이 더 필요하지"
"장세영","5.0","1","0","나를 가장 나답게 만들어준 남자와의 첫사랑.
한여름밤의 불꽃은 꺼졌지만 불씨는 다시 타올랐고 기적은 일어났다. 
내용은 현실적이면서 이상적이었다.
너무 아름답고 멋진 사랑 😢"
"박윤","4.5","1","0","할아버지의 사랑이야기."
"신하은","4.5","1","0","수능 전 마지막 주말에 공부하기가 싫어서 친구들과 함께
""야, 우리 가볍게 로맨스 코미디 영화나 하나 보고 공부할래?""
하고 틀었으나 다 보고난 후 엄청나게 밀려오는 여운에 공부고 뭐고 하나도 못했던 영화.
처음부터 끝까지, 배우들의 연기, 영화의 배경, 스토리, 연출 그 모든것이 아름답고 따뜻했다."
"abcdefghij","5.0","1","0","병원에는 늙은 부인 옆을 지켜주는 남자 보호자가 거의 없어
정말 없어"
"져니","4.5","1","0","오빠랑 어색할 때 본 영화다ㅋㅋㅋ 나 혼자 다운받아서 영화 보다가 중간에 끊고 오빠 보러 놀이터 앞에 앉아서 계속 노트북 얘기하는데 오빠가 결말 기대하지 말라고 했던 거 생각 난다. 근데 나는 결말 너무 감동적이어서 한 네 번 돌려보면서 계속 펑펑 울었다. 예상 가능할 법한 엔딩이기는 한데 아무튼 아름답고 슬펐다. 평생의 헌신이 눈물겹다. 나도 거니찌한테 잘 해야지 ❤️"
"하빈치클루니","5.0","1","0","사랑, 생각만으로도 가슴 한켠이 어두워지는 것. 그 사이 유독 빛나는 별이 보이는 것."
"하굥","5.0","1","0","내 인생영화"
"김문경","4.5","1","0","사랑에 대한 모든 것"
"jay","3.0","1","0","난 언제나 돌아와
다시 만나"
"시연","5.0","1","0","사랑하고싶어지는 영화. 레이첼 맥아담스의 사랑스러운 매력은 덤!"
"다은","5.0","1","0","취향저격... 레이첼 맥아담스 사랑스러워서 심장 아파"
"포테토팁","4.0","1","0","고등학생 때 보고 지금 다시 보니 또 다른 매력"
"짹짹이","4.0","1","0","훌쩍훌쩍 라이언은 매력있고 레이첼은 사랑스럽다"
"한재현","3.5","1","0","18년 2월 27일 13:55"
"1.19","5.0","1","0","레이첼 맥아담스...."
"싱치지","5.0","1","0","난 비록 죽으면 쉽게 잊혀질 평범한 사람일지라도, 영혼을 바쳐 평생 한 여자를 사랑했으니 내 인생은 성공한 인생입니다."
"나무에 걸린 별","4.0","1","0","누군가는 상처를 받아야 하는 선택의 갈림길에서
나는 정답을 고를 수 있을까? 
어쩌면 참을 수 없는 슬픔에 눈물을 흘리진 않을까?
이별한 사람과 오랜 시간 지난 후에 다시 만난다면
나는 웃으면서 인사할 수 있을까? 
참을 수 없는 무언가가 내 가슴을 답답하게 한다.
그리고 나도 뜨겁게 사랑해보고싶다."
"네츄라클래시카","3.5","1","0","누군가에겐 대참사"
"Diane Dayie C","4.0","1","0","글쎄"
"자막없이 영화보기","3.5","1","0","자막 없어도 즐길 수 있는 영화"
"바케","4.0","1","0","첫사랑에 대해 이렇게 잘 풀어놓을수가 없다. 인생에 있어 이런 사랑 한번쯤은 해본다면 성공한것 아닐까"
"JinK","3.5","1","0","이해한다면 아름다운 사랑. 그러나 모두를 이해시키기는 어려운 이야기"
"김연아","4.0","1","0","함께 있을 때 가장 나답게, 가장 자연스럽고 자유로운 내가 되게 해주는 그런,"
"Jay Jaewon Shin","4.5","1","0","노아! 노아!!"
"박채우","5.0","1","0","찐한 감동이 있다."
"_twinkle_meeee","4.5","1","0","다시금 이런 사랑을 할 수 있을까"
"진아주","3.5","1","0","사랑은 감정일까 의리일까"
"이재용","5.0","1","0","인생영화"
"참새젤리","5.0","1","0","정말 여운이 긴 영화에요ㅠㅠ
새벽에 보는데 정말 오랜만에 엉엉 울면서 봤네요ㅠㅠㅠㅠ
아직도 마지막 장면만 생각하면 울컥해요
레이첼 맥 아담스랑 라이언 고슬링 모두 제 인생 배우들인데 제가 사랑하는 배우들끼리 연기하니까 너무 좋았구요 
영화 스토리도 너무 좋고 그냥 너무너무 좋아요ㅠㅠㅠㅠㅠㅠ
저도 이런 사랑 해보고 싶네요"
"밍쯔","4.5","1","0","누군가를 이토록 사랑해보고 싶게 만드는 영화"
"조요한","5.0","1","0","잊을 수 없는 사랑"
"김주범","4.0","1","0","뭔가 두근두근하게 만드는 영화."
"핵재명","3.0","1","0","가끔 잘생긴 남녀의 사랑말고 평범하게 생긴 사람의 사랑을 보고싶다"
"연","5.0","1","0","볼 때마다 운다 진짜 오열하는 수준"
"고요한","4.5","1","0","이런 사랑(사람)을 만날 수 있을까?"
"yya","4.0","1","0","사랑이 무엇인지.. 얼마나 위대한지 알 수 있는 영화"
"장준영","4.0","1","0","레이첼 맥아덤스의 풋풋함을 느낄수 있어서 최고"
"이상봉","5.0","1","0","가장이름다운 사랑이야기"
"조성훈","4.5","1","0","어렸을적의 아름다운 사랑과 현실이 부딪혔지만 과거의사랑을따르게 되는 아름다운 영화"
"JulMoony","4.5","1","0","멋대로 몽상적인, 뭉직한."
"Sol Lee","4.5","1","0","처음이라 강렬했고 진심을 다했고 그걸 계속 이어가고 싶다. 아름답게 표현해주었다."
"유화","3.5","1","0","명성에 비해 루즈했지만 너무나 아름다웠다."
"SEO HEE","3.5","1","0","개인적으로 레이첼 맥아담스 완전 예뻐... 상큼?하다해야하나 그런.. 발랄한데 뭔가 너무 가볍지는 않은 역할이 찰떡같이 잘 어울리는 배우인듯♥♥예전부터 아 꼭 봐야지하고 너무 기대를 하고 봐서 그런지 살짝 답답했던 부분도 없지않아 있다. 뻔한내용도 꽤 많이 들어간다. 하지만 단순히 뻔하고 평범한 로맨스 영화라고 치부해버리기에는 영상미도 좋고 그냥 좋은 영화ㅠ라이언 고슬링? 사실 잘생겼는지는...(잘모르겠숴여) 근데 확실히 배우만의 매력이 뚜렸하고 또 연기도 잘해서 별로 아쉽다거나 안 어울린다고는 생각이 들지 않았다.또 이영화를 보면서 모두가 거의 느꼈을 것같은데 치매는 정말 무섭고도 슬픈 병인것같다. 하긴 안그런 질병이 어딨겠냐마는.."
"유안","5.0","1","0","진실된 사랑을 한번쯤 상상해 보았다면 이 영화이다"
"ho geun","5.0","1","0","사랑이 기적을 일으킬 수 있다고 생각하나요?"
"Wonseob Yoo","5.0","1","0","진정한 자유, 엄마의 자충수"
"🌹🌹🌹","4.0","1","0","러블리 그 자체인 영화.
라이언 고슬링 젊었을 적 모습 오랜만에 보는데 풋풋했다.
영화 보고 나와서 아무도 없는 도로에 둘이 신호등을 바라보며 누워 있는 장면이 제일 좋았다. 
이런 진득한 사랑 누구랑 할 수 있는 걸까. 
한창 정신적으로 힘들 때 봐서 그런가 끝나고 괜히 엄청 울었다."
"최영윤","5.0","1","0","밉도록 사랑해서"
"김준환","5.0","1","0","복잡한 감정이다.. 약혼까지 했으면서 옛남친 찾아가서 누군가에게 상처를 주고 자기만 행복한 이야기가 뭐가 아름다운가 싶으면서도 모든 사람에게 그런 사람이 하나씩은 있기에 이해는 되고.. 앨리가 노아를 찾아가지 않았다면.. 앨리의 무책임한 행동에 화가 나는데 또 왜 이리 먹먹한지 모르겠다."
"강니노","5.0","1","0","처음 봤을 땐 최악이었는데"
"방랑자","4.0","1","0","사랑하고 싶게 만드는 사랑스러운 영화"
"xean","5.0","1","0","울지 않으려 애썼는데, 계속해서 가슴이 먹먹하다. 내 절친의 인생영화라는 말을 듣고서 바쁜 일상 속에 갇혀 1년을 보지 못했다. 오늘에서야 이 영화를 보았다. 최고라 말하고싶다. 
결혼이 하고 싶어졌다."
"동희","3.0","1","0","이거보다 쩌는 멜로영화들 많은거같은데
마지막에 왜 갑자기 죽어...?
이것도 실화야?"
"꼬마김밥","5.0","1","0","니가 새면 나도 새야"
"우아아","4.0","1","0","사랑이여"
"서연","5.0","1","0","후회없이 최선을 다해 사랑할수있을까"
"자로이","4.0","1","0","가장 현실적이면서도 실현시키기 힘든 이상적인 사랑이 노아와 앨리의 사랑이 아닐까 싶다. 연애보다 사랑이 하고싶어지는 영화. 노아 같은 사람이라면 진심을 다해 나를 내보이면서 다퉈도 그마저 사랑할 수 있을 것 같다.
-
'넌 날 망할 자식이라 하고 난 널 구제불능이라 부르지
너 구제불능 맞잖아! 난 니 감정 건들이는 거 겁 안 나
뒤끝 없고 돌아서면 다시 구제불능인 게 너니까
쉽지 않을 거야 무지 어렵겠지
매일 이래야 할지도 몰라
그래도 괜찮아 네 모든 걸 원하고 매일 같이 있고프니까'
(01:37:44 ~ 01:38:19)"
"김재안","4.0","1","0","진심으로 살자"
"김민지","5.0","1","0","ㄹㅇㄹㅇ인생영화"
"디두","5.0","1","0","인생영화! 펑펑운영호ㅏ!"
"은짱","5.0","1","0","이 명작을 이제 보다닛.."
"이성주","5.0","1","0","한 여자를 진정으로 사랑한다는 것이
이토록 멋있어보일줄이야.."
"배영은","5.0","1","0","아름다움의 정석"
"민유 🐱","5.0","1","0","원작을 헤치지 않은
어쩌면 뛰어넘는"
"동언","5.0","1","0","사랑의 위대함"
"스리","5.0","1","0","ㅎ"
"박소진","5.0","1","0","레이첼맥아담스가 라이언고슬링을 때릴때 그충격이란..."
"차니","5.0","1","0","앨리를 바라보는 노아의 눈빛, 표정"
"JaehyunShrimpKim","5.0","1","0","곱게 모범생으로 자란 여주와 자유로운 영혼을 가진 서민 남주 그리고그 라이벌로 등장하는 화려한 스펙의 엄친아. 여기까진 로맨스의 클리셰지만 액자식 구조로 담은 노아의 헌신과 간질간질하게 예측 가능한 반전은 한순간에 영화를 다른 차원으로 끌어올림...ㅠ"
"안여라","4.0","1","0","추억이 가득한 영화"
"김정윤","5.0","1","0","사랑하는 노아에게,
내가 돌아오도록 이걸 읽어줘요
시간이 지나도 사랑을 기억하는 방법"
"Bella Chae","4.0","1","0","이런 사랑.."
"진경","4.0","1","0","“You don’t do what you want”
우리가 죽어 천사를 만난다면
안정적인 삶을 살았노라-가 아닌
천사조차 할 수 없는 그 사랑을 하고 왔노라-했을 때 비로소 그들이 부러워 할 것이다.
/
선택의 조건
1.남들이 볼때 행복한 내가 아닌 내가 행복할 것
2.상대가 정말 정말 아주 아주 좋은 사람일것
(앨리는 론의 현재와 사랑을 한 것이고, 노아는 과거를 사랑한거라 현재의 노아는 어떤 사람일지 모르기에 선택했을때 더 위험이 큰데. 마지막의 알게된 356통의 편지로 좋은 사람이란걸 확신했을 것이다)"
"정주현","5.0","1","0","-If you're bird, I'm a bird.
-I'll be seeing you."
"이지우","4.0","1","0","널 위해 살아가리라 말하지 못한 것이 내 욕심과 비겁함때문이 아니라 내 사랑이 진실되지 않아서였을까, 그게 두렵고 아파서 조용히 울음을 삼켰다. 
사실은, 내 삶의 이유 바로 너라고 말해주고 싶었다. 이젠 너무 늦어버렸지만."
"..","4.5","1","0","앨리가 참 부러워. 꼭 내 인생에도 다가왔음 좋겠다. 
서로에게 꽉 매여버린 사랑."
"이주영","5.0","1","0","볼때마다 먹먹해지는 인생영화"
"june_pieces","4.5","1","0","머리로는 하나둘 지적하다가도
가슴으로 느끼고야 마는 저릿함"
"김주영","5.0","1","0","사랑의 진정한 의미가 무엇인지 알게 해주는 영화"
"요니","5.0","1","0","노아같은남자와 결혼해야지"
"David MinWoo Song","5.0","1","0","함께 너랑 늙고 싶다"
"이현우","5.0","1","0","사랑... 그 대단함"
"김다인","5.0","1","0","인생영화😘"
"허영란","5.0","1","0","무르익지 않은 사랑"
"쩌엉","4.5","1","2","ㅠㅠㅠ진짜 계속 여운남아서 코멘트 남긴다...
레이첼 맥아담스 진짜 너무 사랑스럽고...
너무 슬프고 ㅠㅠ 따헉"
"오경준","5.0","1","0","덧없기에 더 아름다운 지금"
"임세진","4.5","1","0","나도 내 영혼의 뿌리가 송두리째 뽑힐만큼 뜨거운 사랑을 하고싶다."
"이찬기","5.0","1","0","와 라이언고슬링... 레이첼 맥아담스... 
두 배우덕에 넉 놓고 봣습니다...
가슴아픈 진정한 사랑이라는걸 느꼇네요👍"
"이강툐","5.0","1","0","처음 봤던 순간을 잊을 수 없다. 연애를 글로 배웠냐는 말이 있듯, 이 영화를 통해 사랑을 배운것 같다."
"김나연","5.0","1","0","첫사랑의 떨렘보다도 노인이 된 둘의 애틋한 사랑이 눈물 포인트였다. 론이 결코 악역이 아니라 너무나 근사한 남자였던게 또 킬링 포인트였고."
"최유정","5.0","1","0","처음 혼자 본 영화 (서면) 인생영화"
"전혜영","5.0","1","0","이렇게죽자고옆에있는사람에게말했다."
"황호선","4.5","1","0","결말에서는 바우키스와 필레몬 신화
그리고 우리나라 영화는 장수상회가 떠오르는 영화다.
그리고 역시 멜로는 레이첼 맥아담스👏🏼👍🏼"
"주요한","5.0","1","0","!"
"오승민","5.0","1","0","영원할것만 같다가 금새 사라지는 별똥별같은 사랑
별똥별의 소원이 이뤄지는군"
"분필","5.0","1","0","푸른꿈, 컴퓨터실"
"Kyeong-ho Gwak","5.0","1","0","이런 좋운 영화"
"이쁜이지현","5.0","1","0","같이 있을때 내가 가장 '나'다운 사랑"
"윤지온","5.0","1","0","true love"
"moooonz","3.0","1","0","내가 하면 로맨스 남이 하면 불륜."
"김선우","5.0","1","0","기다렸고, 또 기다렸다. 그래서 함께 할 수 있었다."
"박건태","5.0","1","0","집에서 봤을 땐 그냥 A급 로멘스
극장에서 재개봉작을 봤을 땐 SS급 로멘스"
"성훈","5.0","1","0","진실된 첫사랑은 아주 강렬하게 타오르지만, 한 번 식어버리게 되면 까무잡잡한 재만 가슴속에 남는다. 그러나 그 사랑이 다시 한 번 불타오르게 되면, 그 누구도 막을 수 없을 만큼 뜨겁게 불타오른다."
